,seeds1,seeds2,moves,player1,player2
27101,26,18,614161356311421665216156634562132431256113412544354225143325443546655664433253465416151662314322145345342551426251334254662513324451233442536516,1952,1214
27291,26,11,614161246135121524653465416156251244135446455642513425531155244265315,1443,1952
27305,4,31,61416124612324124124433124433442135433524325526436,7884,1952
27420,15,25,614134234645442216354656352661152234416,1952,246
27483,26,11,61412534131426214334151642152354455112641615165161425333411461214551344556126,1567,1952
27673,28,6,6134634531211224133524153615453445214214361314353656435435425314514255334466144334452411225,8299,1952
27772,26,2,6131643331216412342334166545244536315,6746,1952
27791,26,14,61316223252662114633422341613243553466151641324423153426153661225,6746,1952
27925,26,14,6131612361253235241233455445263544154356215344153253442536664534253661225,6746,1952
27945,28,10,61316123612435621132256154335524152245332534154644133442244334416644332442344356356,6746,1952
28021,6,25,61316123262252634235564356354411445231552254351324161526316,1952,3531
28661,26,15,612362466151461151223153223314456145331522435234354325143526644516615,1915,1952
28759,26,9,61233122353412332531451433455625541523514455326,911,1952
28781,29,8,612326223113316151132253361566341142344362132153624331534253645142543344156445365,3531,1952
28799,30,7,612322421524625143155445266516512213243,6975,1952
28902,28,9,6122631415666321352433645512513443552415322544355344556114253632235114223354161516613324155234253346,2955,1952
29266,26,13,612216241623156425163623463426351656614135544322534136141615162132136,415,1952
29568,24,24,6114151331256113352446614356415332413342625163122623314253142253315442645166233412445566144155266351445233,7893,1952
29651,4,25,611312352115235533524553651664,698,1952
30096,35,3,5664425462132134531224534132514352656425334556,6308,1952
30151,34,14,56641264112312214153621122316113254225334633634455425366254154,7893,1952
30367,31,8,564553241251261445564253241526366611422344556,1952,603
30410,28,2,564465425413363415136421,5958,1952
30439,26,18,5644563253215443542234435415536244452352455334415566551425334262536415112665145523425331425366241513344155235246241523543546513223631241342355443243546516,5958,1952
30448,26,18,564453251255132611152253455415263624356651334453651426251224335143526624364153651432415524433452435514261526634214332152453443546516,2572,1952
30450,26,18,564452353445521652131115541266151435432652622314213342556612233441536516,395,1952
30604,8,28,564356252425563652354455265321253445521663,1952,3531
30610,0,26,564356125645143554435266143342546325,1952,3531
30700,32,6,564321435663263313425642545345416551633155442224151344552132534455651126,7435,1952
30722,26,2,5642634253242314235244533113363554455326,6746,1952
30731,26,11,564256315645434556265145325543556611234262336465231422516136,2955,1952
30736,25,12,564251333142242233445116511423324453665445,911,1952
30851,28,11,5641563356343236445324564332534456665441245315543351245342512524354356155231225335665163415216132445,2955,1952
30852,25,16,5641562551663231452236245521425361524354252631524354253142536516141523453415466132511442233445526216,2858,1952
31315,25,0,5633564156156346516522161516234532511342532614,5746,1952
31609,27,10,56325624265326443354425411142334556241324665442543516136,5836,1952
31694,7,29,563251252134335211522453355465364,911,1952
32157,43,5,562425262242566633225334363536216526215115265112236331524,583,1952
32270,33,5,5623561211531612233251436651425366112233445266132145,5746,1952
32279,31,9,56235236512236135223315266533242563421555144521161231425122544533255446125335442546512233441526513213246,6746,1952
32551,26,18,5622625115241122411422446151623664136442511332446151612143615162112443526431425365644334425165122334415265112233445516653443546516,6308,1952
32591,11,25,562256141354225316151455215215244524354423165565342245344562516664431516142,4213,1952
32616,25,18,5622561115122413155426612514235461413631514255145345562415225331524366514255142334554663322114332245345344516516,4213,1952
32641,25,10,562251165311335223463322534133524354415166526533416124,911,1952
32647,25,12,562251151145523623122165526341521365223143615164635622142553344115536126,7541,1952
32704,28,0,56223652451452161524354134455352435134425365,4213,1952
33001,26,12,561416126436526444522442356653224466223155621126,6308,1952
33047,26,9,5614136134523316144164511261261142233416156425163112416,1952,7742
33134,26,13,561316121362344411146351642264334161516644321451432452435435423613362514453665463445124335214256,6746,1952
33143,11,27,561316113541551335423411534154325443546516611253443546615112612,7815,1952
33292,24,24,561156331211534352235143542254453251634255316144533445522344354665344552662332435466,7893,1952
33294,4,25,56115615161415455132113514154314514234552565164,7815,1952
33297,28,8,5611561213151614152514235445513125144334224433446413443223416433415113265164112562,7815,1952
33314,14,25,5611521314561511524554363112544335345516662563514415564131514223446,2858,1952
33322,26,2,561121513155243655261316551426551256356653624151621126122326,6512,1952
33505,21,25,554643621432111256143645161314561516265142533455166641354423354253641226251431432614225344351651614223544536516,2572,1952
33551,27,5,55461315544552255415514553652255634166343244516211325534155335611246,246,1952
33815,5,27,554253125413345342532516411615134615325541611613154251652665133524113255,1952,1214
33963,39,9,5536346325435415564324152611623,7893,1952
34101,25,16,553425334321154435213256455435416,911,1952
34164,5,28,553355435165334246544161366251445223226233415361166514,1952,1214
34760,27,12,55264215224415232514256325144225526235146312245364353645562166554662314212416122335,2572,1952
34802,26,4,5526243623432435423543243546315142532435465165245536416132136,3006,1952
35024,33,7,55236244455223134432155415233542546665132435425361645142351425336141546512152334415566,583,1952
35056,25,15,552355115512152332514251633642342243341122462513413462412445334556,4997,1952
35079,26,15,55234232115115122453354415265543362416351651126641523321544556324314256,246,1952
35279,8,26,55225516514443225344154651426633644526123324355,177,1952
35287,30,2,5522551314155146522152431544251651126,583,1952
35359,25,6,552254416431615144653123653414215344536336651425334455611433226544,3006,1952
