,seeds1,seeds2,moves,player1,player2
16943,13,26,64226445423135644516451235214612254614133252332544435536213315161415226315142516613146652443355465,1568,5714
16944,8,26,64226445422345546322411152353262433225531165364315513352432456,8345,5714
16945,13,26,6422644542234554632211316354425326526526641324325161415265223344,7919,5714
16946,23,25,642264454223453162214556356151611431166551613612665561432566,8345,5714
16947,26,4,642264454223453134234234435611252351456613415524236514323315,5714,5127
16948,6,27,64226445422345243123551246233363425526534552312456,8345,5714
16949,11,25,64226445422345243123155523426211512236526321546536,5495,5714
16950,14,25,64226445422331154355242314261124436336654454653345523455,5495,5714
16961,15,33,6422644511311315244233445566,5172,5714
16989,15,25,64226436324346134432244566433421234651151321665234255142541615632435,7919,5714
16990,25,14,6422643632215122423336521553654153361413216225546331534253662426,5714,5458
16997,17,26,642264361542663541161255336141561165323112452655142533152435615146,7919,5714
16998,13,26,642264361542661546331115161361416156453262135122562314152142142336231255142163153266,7919,5714
17003,12,25,642264361513366543354453315422534251145332112456443223346641526551425615242325,7919,5714
17004,16,25,64226436151336654335442663521132622142562346322151451362435521423344435261361332432556,8345,5714
17005,17,26,64226436151336654335442663153445515423544262266311235142533251425523413243631251245562415365112432445365112233445566655443325443546615,7919,5714
17006,20,25,6422643615133665433544266315344551162441315344516633415514253241546513243622335145145361223443546615,7919,5714
17007,17,25,642264361513366543352246641243352441256154324161563255632435,7919,5714
17008,11,25,64226436151336654335224664124335243135632541334261564551254412436151133615,7919,5714
17009,12,28,6422643615133665432245144116126143123246151161554411232266412532462331615445,7919,5714
17010,15,26,642264361513366543224514365426414351351614152666435231655142532416,7919,5714
17011,16,25,642264361513366543221645146231356124325614513254251315345526411262161151324511612132536634,8345,5714
17012,26,18,6422643615133665431425663445135123423452353341542342355651445513445612335544662151614233441536516,7919,5714
17013,16,26,6422643615133665431424662125245533122136221511226141613154364336451455226415124126,7919,5714
17014,15,25,6422643615133665143615453364451224634234435561554455623546,6489,5714
17015,16,25,64226436151336414456351352661321152241613144254362516231562556334465,7919,5714
17017,10,26,6422643615133641215412651146114326635562315223362446,7919,5714
17018,6,25,642264361513362136255612214552623426233155,6489,5714
